Data: 81 | FE, 81 | 81, 
Data: 01 | FE, 00 | 81, 
Data: 12 | FE, 00 | 00, 
Data: 81 | FE, 81 | 81, 
Data: 1D | FE, 00 | 82, 
Data: 9D | FE, 82 | 82, 
Data: 8D | FE, 00 | DE, 
Data: A2 | E6, 00 | DE, 
Data: 22 | 66, 00 | 00, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 66, 66 | 66, 
Data: 80 | 61, 61 | 61, 
Data: A2 | 7E, DE | 00, 
Data: C0 | FE, 40 | 40, 
Data: 81 | FE, 83 | 81, 
Data: 12 | FE, 00 | 08, 
Data: 92 | FE, 08 | 08, 
Data: 81 | FE, 81 | 81, 
